hour,stock_type,percentage_change
2024-01-04 17:00:00,Google,-0.4362
2024-01-04 18:00:00,Google,-0.3295
2024-01-04 19:00:00,Google,-0.5449
2024-01-04 20:00:00,Google,0.0804
2024-01-04 21:00:00,Google,-0.438
2024-01-04 22:00:00,Google,0.0
2024-01-04 23:00:00,Google,0.0
2024-01-05 00:00:00,Google,0.0
2024-01-05 01:00:00,Google,0.0
2024-01-05 02:00:00,Google,0.0
2024-01-05 03:00:00,Google,0.0
